Dataset,Metric,n_adjusted,rho_adj,p_adj,q_adj,delta_rho,flag,rho_unadj,p_unadj,q_unadj
Pooled,SDANN,37,0.27596017069701273,0.09827665364218818,0.4913832682109409,-0.02560455192034139,,0.3015647226173541,0.0696967939552531,0.1099309178535927
Pooled,SD1,151,0.029233182293482044,0.7216050968761127,0.9488256914662245,-0.00027406826564065415,,0.0295072505591227,0.7058884039700155,0.7476975918269884
Pooled,SD2,151,0.05262112234227953,0.5210740536135305,0.9488256914662245,0.21867893005653333,FLAG,-0.1660578077142538,0.0324999813464155,0.064999962692831
Pooled,SD1SD2,114,0.06619145015289282,0.4841080743226893,0.9488256914662245,0.03759686160190892,,0.0285945885509839,0.7476975918269884,0.7476975918269884
Pooled,VLF_power,151,-0.03590101080515859,0.6616514950688797,0.9488256914662245,-0.2524576018946117,FLAG,0.2165565910894531,0.0050725995434378,0.0162323185390011
Pooled,LF_power,151,0.034897176716626,0.6705525104955878,0.9488256914662245,-0.25935550084172937,FLAG,0.2942526775583554,0.0001190473801189,0.0006349193606342
Pooled,HF_power,151,0.05515859184384802,0.5011508450193479,0.9488256914662245,-0.11416016385395678,FLAG,0.1693187556978048,0.0291977489480622,0.064999962692831
Pooled,Total_power,151,0.01287905193447194,0.8752828147541014,0.9530572527044118,-0.20534080626807144,FLAG,0.2182198582025434,0.0047362936705833,0.0162323185390011
Pooled,LF_HF,151,-0.03755315440920181,0.6471049342740223,0.9488256914662245,0.06973937990879958,,-0.1072925343180014,0.1688535075067795,0.2251380100090393
Pooled,LF_norm,151,0.15448588358313,0.05822958057923301,0.4631058314476065,-0.2186198217641164,FLAG,0.3731057053472464,7.392266743986216e-07,5.913813395188973e-06
Pooled,HF_norm,151,0.12043917741373299,0.1407374007634358,0.6495572342927806,-0.034555542893735317,,0.1549947203074683,0.0461581838062928,0.0820589934334095
Pooled,DFA_alpha1,151,-0.1005960264900662,0.21907456527974525,0.876298261118981,0.07543351355361429,,-0.1760295400436805,0.023293351707229,0.0621156045526106
Pooled,DFA_alpha2,114,-0.06837042587229906,0.46980413911530416,0.9488256914662245,-0.10737422730342606,FLAG,0.039003801431127,0.6607679000858084,0.7476975918269884
