HRV,Clinical,rho,p,ci_lo,ci_hi,p_fdr,adjustment
Complexity (rcMSE nAUC/HR),Schwab & England (%),-0.24161398127316108,0.27868880152771175,-0.6593538838567984,0.23879448233845615,0.8360664045831352,age_adjusted
Complexity (rcMSE nAUC/HR),CISI-PD motor signs,0.0017247288105335047,0.9939222116006234,-0.5049741780163814,0.4750915092265352,0.9939222116006233,age_adjusted
Complexity (rcMSE nAUC/HR),CISI-PD disability,-0.16303563848673788,0.4684888673031028,-0.5998035297643826,0.2690001923175468,0.843279961145585,age_adjusted
Complexity (rcMSE nAUC/HR),CISI-PD motor comp.,-0.2820272928783329,0.2035109822341605,-0.7107747042801547,0.20722576795070818,0.8360664045831352,age_adjusted
Complexity (rcMSE nAUC/HR),CISI-PD cognitive,-0.10172540922863359,0.6523825249986617,-0.5368378506888651,0.34361780807581305,0.9226218449045386,age_adjusted
Complexity (rcMSE nAUC/HR),CISI-PD total,-0.17048906284311865,0.4481120658294264,-0.6044344127979749,0.30479629409431996,0.843279961145585,age_adjusted
Complexity (rcMSE nAUC/HR),Non-motor burden,-0.25706111966203116,0.26063007199621174,-0.6785245185204394,0.23408199913634262,0.8360664045831352,age_adjusted
RMSSD,Disease duration (yr),-0.13606094918413952,0.5460105707538516,-0.5497899755420148,0.32214615469243085,0.8190158561307775,age_adjusted
RMSSD,Hoehn & Yahr stage,-0.09218865314910453,0.6832489427443494,-0.5438716685801687,0.3823989949721236,0.8784629263855921,age_adjusted
RMSSD,Schwab & England (%),-0.25192669851168203,0.2580431781150482,-0.6232379632448667,0.16423993083658217,0.8190158561307775,age_adjusted
RMSSD,CISI-PD motor signs,-0.011884968924712337,0.9581358120136528,-0.4529352527572085,0.4679094184851096,0.9581358120136527,age_adjusted
RMSSD,CISI-PD disability,0.14246906801989287,0.5270785129016633,-0.28040602482851273,0.6078533085668161,0.8190158561307775,age_adjusted
RMSSD,CISI-PD motor comp.,0.0432662847947016,0.8483845747495896,-0.386514781580921,0.5223520047914649,0.9544326465932883,age_adjusted
RMSSD,CISI-PD cognitive,0.42692677008122154,0.0475240677271801,-0.09236949900972735,0.818111036246338,0.4277166095446209,age_adjusted
RMSSD,CISI-PD total,0.18294680935193744,0.41511828381420246,-0.2526235393615342,0.6569908342262393,0.8190158561307775,age_adjusted
RMSSD,Non-motor burden,0.21202665092027825,0.3561720392800244,-0.29170859148684386,0.7192756441222744,0.8190158561307775,age_adjusted
DFA α₁,Disease duration (yr),-0.09419168900791042,0.6767232945325043,-0.5940255682166615,0.44436380512797297,0.9517442022845971,age_adjusted
DFA α₁,Hoehn & Yahr stage,-0.1151380827273383,0.6098943626614637,-0.6254345296441022,0.380035265982054,0.9517442022845971,age_adjusted
DFA α₁,Schwab & England (%),-0.12431018194820657,0.5815122607875018,-0.5247081668713051,0.3835819408296599,0.9517442022845971,age_adjusted
