Dataset,Subset,Metric,n,rho,p,q_BH,sig,CI_lo,CI_hi
Chile,HC,LF_HF,43,-0.011325883418906675,0.9425362190610249,0.9976995350852984,,-0.31890028890638145,0.3092668727664322
Chile,HC,LF_norm,43,0.23920265780730898,0.12238026605352656,0.9178519954014492,,-0.0667309732097188,0.5192328062343952
Chile,HC,HF_norm,43,-0.009664753850800362,0.9509531310569523,0.9976995350852984,,-0.3428905033090817,0.33252120656461026
Chile,HC,DFA_alpha1,43,0.05179704016913319,0.7414991114416332,0.9976995350852984,,-0.24092792075834266,0.32738393405063654
Chile,HC,DFA_alpha2,43,-0.061461794019933555,0.6954082651673397,0.9976995350852984,,-0.3591167396051345,0.25905007563266924
Spain,All,SDNN,58,0.043280322372266145,0.7470064817459432,0.9968915806386953,,-0.21706265949075618,0.318222390557906
Spain,All,RMSSD,58,0.0312836445292073,0.8156684041076864,0.9968915806386953,,-0.2795834092738385,0.2869688055858199
Spain,All,pNN50,58,0.3145635399230379,0.016177326379374652,0.24265989569061977,,0.04632519348967543,0.5344806441996809
Spain,All,SDANN,0,,,,,,
Spain,All,SD1,58,0.0312836445292073,0.8156684041076864,0.9968915806386953,,-0.25538711983312057,0.2986586618186505
Spain,All,SD2,58,0.06290565689501369,0.6389900015893082,0.9968915806386953,,-0.19202868322738673,0.3216613378576264
Spain,All,SD1SD2,58,0.010797010058752962,0.9358873996261659,0.9968915806386953,,-0.24763550347252067,0.3030196415136978
Spain,All,VLF_power,58,-0.033990587222000074,0.8000343815734422,0.9968915806386953,,-0.3134529209847844,0.21978081295139099
Spain,All,LF_power,58,0.06671998523485805,0.6187532257205162,0.9968915806386953,,-0.19704790473480874,0.3462467331363194
Spain,All,HF_power,58,-0.005075517548986435,0.9698369665758604,0.9968915806386953,,-0.2935411507477801,0.29771663484633865
Spain,All,Total_power,58,-0.03983512258143899,0.7665512469736057,0.9968915806386953,,-0.3225283120823356,0.25410700872099573
Spain,All,LF_HF,58,-0.0005229321111076933,0.9968915806386953,0.9968915806386953,,-0.2568264655879339,0.26084097876561024
Spain,All,LF_norm,58,0.22353809714232986,0.09164672594548333,0.6873504445911249,,-0.03485299042139891,0.4774321140768121
Spain,All,HF_norm,58,0.055277000215324994,0.680245383724693,0.9968915806386953,,-0.23428140041322323,0.32606603590062655
Spain,All,DFA_alpha1,58,-0.04487987941800733,0.7379848206260051,0.9968915806386953,,-0.29551392507986857,0.24309538212601137
Spain,All,DFA_alpha2,58,0.047771386385308694,0.7217659485232615,0.9968915806386953,,-0.2593306296687226,0.33754233113724524
Spain,PD,SDNN,31,-0.2588709677419355,0.15966303012682573,0.5534829463054931,,-0.5638086473648084,0.09385514868734769
Spain,PD,RMSSD,31,-0.26290322580645165,0.15303055647914734,0.5534829463054931,,-0.6201641357605836,0.10271824133534345
Spain,PD,pNN50,31,0.01654894888962983,0.9295904949574849,0.982824379813206,,-0.34100026393618815,0.37888005541750924
Spain,PD,SDANN,0,,,,,,
Spain,PD,SD1,31,-0.26290322580645165,0.15303055647914734,0.5534829463054931,,-0.6389306976090637,0.1275864329756197
Spain,PD,SD2,31,-0.20927419354838714,0.25852946443001434,0.6463236610750359,,-0.5266068830842213,0.12673095000937068
Spain,PD,SD1SD2,31,-0.020967741935483872,0.9108566601908678,0.982824379813206,,-0.42315495397167974,0.3885215451324618
Spain,PD,VLF_power,31,-0.24475806451612908,0.18449431543516437,0.5534829463054931,,-0.5779531490034233,0.12863433415062536
Spain,PD,LF_power,31,0.10685483870967745,0.5672298326794336,0.9453830544657227,,-0.2616507484492753,0.480025982514262
Spain,PD,HF_power,31,-0.00403225806451613,0.982824379813206,0.982824379813206,,-0.4154423972464063,0.41126490200040405
Spain,PD,Total_power,31,-0.1653225806451613,0.3741165296942002,0.8016782779161432,,-0.5160363825069059,0.20636157067642233
Spain,PD,LF_HF,31,0.0125,0.9467890999890155,0.982824379813206,,-0.3301683911543924,0.34986441805265417
Spain,PD,LF_norm,31,0.38951612903225813,0.030312859117730375,0.45469288676595565,,0.07464546968704079,0.6394189228167975
Spain,PD,HF_norm,31,0.11330645161290324,0.5439183508187508,0.9453830544657227,,-0.28371922723359116,0.48490696407668626
Spain,PD,DFA_alpha1,31,-0.011290322580645162,0.9519323200315777,0.982824379813206,,-0.3865233682942385,0.381421639204394
Spain,PD,DFA_alpha2,31,-0.04153225806451613,0.8244426256200903,0.982824379813206,,-0.43892559093681177,0.3550772397662888
Spain,HC,SDNN,27,0.35531135531135527,0.06894828840447803,0.34474144202239015,,-0.036919705853500254,0.7008685846371495
Spain,HC,RMSSD,27,0.2576312576312576,0.19450152085003744,0.5835045625501123,,-0.12246828668102124,0.5862858528292348
