Dataset,Scale,Metric,n,rho,p,q_BH,sig
Chile,20,LF_norm,71,0.1043594902749832,0.3864306311405305,0.554685116469661,
Chile,20,HF_norm,71,0.2390677397719651,0.0446558163437657,0.1395494260742678,
Chile,20,DFA_alpha1,71,0.1332662642521797,0.2678876220276852,0.4472898618123613,
Chile,20,DFA_alpha2,71,-0.0431924882629107,0.7206027760642784,0.8188667909821344,
Chile,20,SDANN,0,,,,
Spain,1,RMSSD,58,-0.239656710449414,0.0699946430328602,0.9528873703876618,
Spain,1,SDNN,58,-0.2365191177827678,0.0738532891939084,0.9528873703876618,
Spain,1,pNN50,58,0.09117204037875,0.496092852051557,0.9528873703876618,
Spain,1,SD1,58,-0.239656710449414,0.0699946430328602,0.9528873703876618,
Spain,1,SD2,58,-0.2095727337045126,0.1143581215662681,0.9528873703876618,
Spain,1,SD1SD2,58,-0.1305792242148328,0.3285667070411849,0.9528873703876618,
Spain,1,VLF_power,58,-0.065181949613953,0.6268805267339075,0.9528873703876618,
Spain,1,LF_power,58,-0.0616752283982897,0.6455751294075327,0.9528873703876618,
Spain,1,HF_power,58,-0.1296564028422898,0.3320259828073141,0.9528873703876618,
Spain,1,Total_power,58,-0.1652773078224492,0.2150265695121002,0.9528873703876618,
Spain,1,LF_HF,58,0.0661662924113322,0.6216738989886783,0.9528873703876618,
Spain,1,LF_norm,58,0.2219385400965886,0.0940534188239727,0.9528873703876618,
Spain,1,HF_norm,58,-0.0443877080193177,0.7407570430391168,0.9578754866885132,
Spain,1,DFA_alpha1,58,0.0334368943984742,0.8032261287905746,0.9768713650628876,
Spain,1,DFA_alpha2,58,0.2170168261096927,0.1017686726870024,0.9528873703876618,
Spain,1,SDANN,0,,,,
Spain,2,RMSSD,58,-0.1858254637177397,0.1625353689058793,0.9528873703876618,
Spain,2,SDNN,58,-0.207234919560737,0.1185483620620935,0.9528873703876618,
Spain,2,pNN50,58,0.1199729279233028,0.3696961155909319,0.9528873703876618,
Spain,2,SD1,58,-0.1858254637177397,0.1625353689058793,0.9528873703876618,
Spain,2,SD2,58,-0.1879787135870066,0.15763472775343,0.9528873703876618,
Spain,2,SD1SD2,58,-0.0826540342674336,0.5373479407204419,0.9528873703876618,
Spain,2,VLF_power,58,0.0120274385554769,0.928599154000616,0.9905395946560788,
Spain,2,LF_power,58,0.0784705773785721,0.5582056440183338,0.9528873703876618,
Spain,2,HF_power,58,-0.0209480451567258,0.8759701692098822,0.9905395946560788,
Spain,2,Total_power,58,-0.0435879294964471,0.7452688829893563,0.959573669085008,
Spain,2,LF_HF,58,0.0484481220585068,0.7179872495102364,0.9528873703876618,
Spain,2,LF_norm,58,0.255406195207481,0.0529904806029592,0.9528873703876618,
Spain,2,HF_norm,58,0.0112891814574425,0.932971440488515,0.9905395946560788,
Spain,2,DFA_alpha1,58,0.0247008520717339,0.8539749700926696,0.9891601970185362,
Spain,2,DFA_alpha2,58,0.0967424405549232,0.4700319497357224,0.9528873703876618,
Spain,2,SDANN,0,,,,
Spain,3,RMSSD,58,-0.1414685164108401,0.2894735190864244,0.9528873703876618,
Spain,3,SDNN,58,-0.2114798978744347,0.1110245498125892,0.9528873703876618,
Spain,3,pNN50,58,0.1004646344369284,0.453036901180197,0.9528873703876618,
Spain,3,SD1,58,-0.1414685164108401,0.2894735190864244,0.9528873703876618,
Spain,3,SD2,58,-0.2033590697960565,0.1257520206446303,0.9528873703876618,
Spain,3,SD1SD2,58,0.002491617705866,0.9851900870201984,0.995695277836047,
Spain,3,VLF_power,58,0.0619828355224707,0.6439262857802728,0.9528873703876618,
Spain,3,LF_power,58,0.1600479867113722,0.2300966307277607,0.9528873703876618,
Spain,3,HF_power,58,0.0271617090651819,0.8396105374650848,0.9839185985918965,
Spain,3,Total_power,58,0.0281460518625611,0.8338790133902618,0.9839185985918965,
Spain,3,LF_HF,58,0.0492479005813774,0.713530158572782,0.9528873703876618,
Spain,3,LF_norm,58,0.2688793872466086,0.0412607568982069,0.9528873703876618,
Spain,3,HF_norm,58,0.0207634808822172,0.8770544493620271,0.9905395946560788,
Spain,3,DFA_alpha1,58,-0.0388507797840598,0.772162716072106,0.9768713650628876,
Spain,3,DFA_alpha2,58,0.0365129656402842,0.7855360166726728,0.9768713650628876,
Spain,3,SDANN,0,,,,
Spain,4,RMSSD,58,-0.0740410347903657,0.5806990908365981,0.9528873703876618,
Spain,4,SDNN,58,-0.1783813713125596,0.1803388687333101,0.9528873703876618,
Spain,4,pNN50,58,0.1020646837449591,0.4458364010510629,0.9528873703876618,
Spain,4,SD1,58,-0.0740410347903657,0.5806990908365981,0.9528873703876618,
Spain,4,SD2,58,-0.1905010920052908,0.1520335254486094,0.9528873703876618,
Spain,4,SD1SD2,58,0.0923744193915531,0.4904048737280092,0.9528873703876618,
Spain,4,VLF_power,58,0.0852994555353902,0.5243582024755717,0.9528873703876618,
Spain,4,LF_power,58,0.2347349964625181,0.0761217424369949,0.9528873703876618,
Spain,4,HF_power,58,0.0732412562674951,0.5848039811093404,0.9528873703876618,
Spain,4,Total_power,58,0.1000030760712418,0.455125800504454,0.9528873703876618,
Spain,4,LF_HF,58,0.0592758928296779,0.6584938031369408,0.9528873703876618,
Spain,4,LF_norm,58,0.3161893629456458,0.0156061984158789,0.9528873703876618,
Spain,4,HF_norm,58,0.0359592728167584,0.7887125764096286,0.9768713650628876,
