sample,tipo
431965,cleaned
432763,cleaned
433560,cleaned
434363,cleaned
435151,cleaned
435913,cleaned
436730,cleaned
437521,cleaned
438298,cleaned
439050,cleaned
439860,cleaned
440644,cleaned
441424,cleaned
442169,cleaned
442975,cleaned
443754,cleaned
444500,cleaned
445279,cleaned
446047,cleaned
446816,cleaned
447595,cleaned
448367,cleaned
449151,cleaned
449918,cleaned
450749,cleaned
451532,cleaned
452330,cleaned
453105,cleaned
453886,cleaned
454667,cleaned
455447,cleaned
456212,cleaned
456955,cleaned
457734,cleaned
458463,cleaned
459245,cleaned
460003,cleaned
460734,cleaned
461512,cleaned
462283,cleaned
463060,cleaned
463830,cleaned
464597,cleaned
465350,cleaned
466155,cleaned
466926,cleaned
467695,cleaned
468468,cleaned
469243,cleaned
470023,cleaned
470795,cleaned
471559,cleaned
472309,cleaned
473074,cleaned
473835,cleaned
474589,cleaned
475341,cleaned
476107,cleaned
476857,cleaned
477649,cleaned
478424,cleaned
479205,cleaned
479987,cleaned
480751,cleaned
481508,cleaned
482302,cleaned
483070,cleaned
483836,cleaned
484603,cleaned
485379,cleaned
486158,cleaned
486905,cleaned
487699,cleaned
488474,cleaned
489251,cleaned
490003,cleaned
490794,cleaned
491576,cleaned
492356,cleaned
493118,cleaned
493924,cleaned
494680,cleaned
495495,cleaned
496289,cleaned
497074,cleaned
497853,cleaned
498641,cleaned
499433,cleaned
500197,cleaned
500986,cleaned
501764,cleaned
502538,cleaned
503309,cleaned
504066,cleaned
504839,cleaned
505616,cleaned
506393,cleaned
507159,cleaned
507943,cleaned
508725,cleaned
509479,cleaned
510274,cleaned
511053,cleaned
511833,cleaned
512578,cleaned
513330,cleaned
514117,cleaned
514881,cleaned
515614,cleaned
516389,cleaned
517151,cleaned
517919,cleaned
518680,cleaned
519446,cleaned
520216,cleaned
520990,cleaned
521761,cleaned
522521,cleaned
523283,cleaned
524019,cleaned
524786,cleaned
525495,cleaned
526213,cleaned
526961,cleaned
527689,cleaned
528425,cleaned
529145,cleaned
529911,cleaned
530648,cleaned
531400,cleaned
532160,cleaned
532928,cleaned
533688,cleaned
534446,cleaned
535218,cleaned
536000,cleaned
536772,cleaned
537538,cleaned
538323,cleaned
539092,cleaned
539927,cleaned
540685,cleaned
541505,cleaned
542308,cleaned
543106,cleaned
543899,cleaned
544676,cleaned
545443,cleaned
546257,cleaned
547048,cleaned
547816,cleaned
548566,cleaned
549371,cleaned
550146,cleaned
550912,cleaned
551674,cleaned
552452,cleaned
553228,cleaned
554000,cleaned
554765,cleaned
555543,cleaned
556320,cleaned
557069,cleaned
557856,cleaned
558629,cleaned
559387,cleaned
560192,cleaned
560958,cleaned
561734,cleaned
562512,cleaned
563283,cleaned
564045,cleaned
564797,cleaned
565602,cleaned
566367,cleaned
567127,cleaned
567898,cleaned
568653,cleaned
569460,cleaned
570228,cleaned
571004,cleaned
571780,cleaned
572540,cleaned
573331,cleaned
574108,cleaned
574899,cleaned
575678,cleaned
576481,cleaned
577269,cleaned
578070,cleaned
578866,cleaned
579662,cleaned
580450,cleaned
581254,cleaned
582077,cleaned
582895,cleaned
583715,cleaned
584485,cleaned
585314,cleaned
586124,cleaned
586933,cleaned
587700,cleaned
588508,cleaned
589310,cleaned
590115,cleaned
590924,cleaned
591722,cleaned
592504,cleaned
593300,cleaned
594101,cleaned
594902,cleaned
595692,cleaned
596470,cleaned
597229,cleaned
598038,cleaned
598822,cleaned
599593,cleaned
600344,cleaned
601152,cleaned
601926,cleaned
602717,cleaned
603489,cleaned
604311,cleaned
605099,cleaned
605894,cleaned
606693,cleaned
607465,cleaned
608261,cleaned
609047,cleaned
609807,cleaned
610601,cleaned
611365,cleaned
612143,cleaned
612899,cleaned
613671,cleaned
614466,cleaned
615252,cleaned
616022,cleaned
616838,cleaned
617627,cleaned
618416,cleaned
619234,cleaned
620008,cleaned
620829,cleaned
621613,cleaned
622405,cleaned
623176,cleaned
624001,cleaned
624769,cleaned
625589,cleaned
626392,cleaned
627192,cleaned
627977,cleaned
628758,cleaned
629551,cleaned
630316,cleaned
631125,cleaned
631894,cleaned
632673,cleaned
633426,cleaned
634227,cleaned
634991,cleaned
635755,cleaned
636530,cleaned
637311,cleaned
638064,cleaned
638829,cleaned
639628,cleaned
640408,cleaned
641195,cleaned
641969,cleaned
642737,cleaned
643520,cleaned
644308,cleaned
645099,cleaned
645882,cleaned
646654,cleaned
647487,cleaned
648287,cleaned
649078,cleaned
649882,cleaned
650689,cleaned
651485,cleaned
652262,cleaned
653046,cleaned
653836,cleaned
654628,cleaned
655408,cleaned
656177,cleaned
656954,cleaned
657735,cleaned
658530,cleaned
659329,cleaned
660116,cleaned
660904,cleaned
661706,cleaned
662512,cleaned
663318,cleaned
664108,cleaned
664907,cleaned
665711,cleaned
666515,cleaned
667306,cleaned
668083,cleaned
668917,cleaned
669729,cleaned
670518,cleaned
671311,cleaned
672102,cleaned
672886,cleaned
673653,cleaned
674408,cleaned
675185,cleaned
675987,cleaned
676724,cleaned
677532,cleaned
678319,cleaned
679101,cleaned
679857,cleaned
680673,cleaned
681437,cleaned
682225,cleaned
683024,cleaned
683806,cleaned
684592,cleaned
685383,cleaned
686160,cleaned
686942,cleaned
687721,cleaned
688500,cleaned
689248,cleaned
690058,cleaned
690841,cleaned
691617,cleaned
692379,cleaned
693175,cleaned
693994,cleaned
694756,cleaned
695562,cleaned
696412,cleaned
697214,cleaned
698040,cleaned
698832,cleaned
699681,cleaned
700502,cleaned
701309,cleaned
702115,cleaned
702922,cleaned
703695,cleaned
704532,cleaned
705351,cleaned
706176,cleaned
706987,cleaned
707774,cleaned
708566,cleaned
709353,cleaned
710134,cleaned
710901,cleaned
711688,cleaned
712486,cleaned
713294,cleaned
714066,cleaned
714899,cleaned
715691,cleaned
716505,cleaned
717323,cleaned
718128,cleaned
718944,cleaned
719764,cleaned
720569,cleaned
721364,cleaned
722216,cleaned
723037,cleaned
723842,cleaned
724645,cleaned
725426,cleaned
726255,cleaned
727047,cleaned
727846,cleaned
728649,cleaned
729451,cleaned
730235,cleaned
731021,cleaned
731811,cleaned
732599,cleaned
733376,cleaned
734136,cleaned
734887,cleaned
735653,cleaned
736431,cleaned
737239,cleaned
738046,cleaned
738859,cleaned
739676,cleaned
740486,cleaned
741301,cleaned
742106,cleaned
742890,cleaned
743722,cleaned
744528,cleaned
745333,cleaned
746133,cleaned
746925,cleaned
747721,cleaned
748523,cleaned
749329,cleaned
750130,cleaned
750913,cleaned
751705,cleaned
752497,cleaned
753271,cleaned
754059,cleaned
754823,cleaned
755636,cleaned
756386,cleaned
757185,cleaned
757970,cleaned
758733,cleaned
759525,cleaned
760294,cleaned
761069,cleaned
761841,cleaned
762606,cleaned
763366,cleaned
764131,cleaned
764894,cleaned
765648,cleaned
766404,cleaned
767165,cleaned
767929,cleaned
768687,cleaned
769454,cleaned
770200,cleaned
770967,cleaned
771750,cleaned
772482,cleaned
773249,cleaned
774040,cleaned
774800,cleaned
775558,cleaned
776306,cleaned
777089,cleaned
777895,cleaned
778668,cleaned
779450,cleaned
780233,cleaned
780990,cleaned
781756,cleaned
782545,cleaned
783321,cleaned
784105,cleaned
784873,cleaned
785638,cleaned
786410,cleaned
787183,cleaned
787956,cleaned
788690,cleaned
789467,cleaned
790229,cleaned
790989,cleaned
791741,cleaned
792488,cleaned
793222,cleaned
794009,cleaned
794786,cleaned
795562,cleaned
796336,cleaned
797094,cleaned
797841,cleaned
798578,cleaned
799306,cleaned
800028,cleaned
800735,cleaned
801470,cleaned
802232,cleaned
802968,cleaned
803715,cleaned
804446,cleaned
805237,cleaned
805972,cleaned
